Entidad,Valor,Mes,Anio
7,19.48,10,2018
7,19.44,11,2018
7,19.17,12,2018
7,18.9,1,2019
7,19.19,2,2019
7,19.68,3,2019
7,19.37,4,2019
7,19.17,5,2019
7,19.18,6,2019
7,19.3,7,2019
7,19.09,8,2019
7,19.32,9,2019
7,19.35,10,2019
7,19.51,11,2019
7,19.48,12,2019
7,19.53,1,2020
7,19.41,2,2020
7,17.67,3,2020
7,15.16,4,2020
7,15.89,5,2020
7,16.95,6,2020
7,17.91,7,2020
7,18.17,8,2020
7,18.17,9,2020
7,18.15,10,2020
7,17.5,11,2020
7,17.58,12,2020
7,18.31,1,2021
7,19.14,2,2021
7,19.84,3,2021
7,20.02,4,2021
7,20.11,5,2021
7,20.18,6,2021
7,20.21,7,2021
7,20.19,8,2021
7,20.12,9,2021
7,20.14,10,2021
7,19.96,11,2021
7,20.17,12,2021
7,20.45,1,2022
7,20.52,2,2022
7,21.22,3,2022
7,21.57,4,2022
7,21.95,5,2022
7,22.11,6,2022
7,22.05,7,2022
7,22.01,8,2022
7,21.55,9,2022
7,21.74,10,2022
7,21.64,11,2022
7,21.1,12,2022
7,21.1,1,2023
7,21.11,2,2023
7,21.39,3,2023
7,21.65,4,2023
7,21.21,5,2023
7,21.17,6,2023
7,21.53,7,2023
7,22.13,8,2023
7,22.12,9,2023
7,21.8,10,2023
7,21.95,11,2023
7,22.1,12,2023
7,22.09,1,2024
7,22.66,2,2024
7,22.68,3,2024
7,22.91,4,2024
7,23.22,5,2024
7,23.28,6,2024
7,23.69,7,2024
7,23.91,8,2024
7,23.75,9,2024
7,23.64,10,2024
7,23.79,11,2024
7,24.03,12,2024
7,24.44,1,2025
7,24.22,2,2025
7,23.67,3,2025
7,23.61,4,2025
8,16.06,1,2017
8,16.02,2,2017
8,15.95,3,2017
8,15.99,4,2017
8,15.89,5,2017
8,15.79,6,2017
8,15.71,7,2017
8,15.78,8,2017
8,16.01,9,2017
8,16.13,10,2017
8,16.21,11,2017
8,16.34,12,2017
8,16.83,1,2018
8,17.36,2,2018
8,17.57,3,2018
8,17.66,4,2018
8,17.81,5,2018
8,18.03,6,2018
8,18.39,7,2018
8,18.92,8,2018
8,19.18,9,2018
8,19.35,10,2018
8,19.38,11,2018
8,19.16,12,2018
8,18.98,1,2019
8,19.53,2,2019
8,19.97,3,2019
8,19.77,4,2019
8,19.72,5,2019
8,19.51,6,2019
8,19.59,7,2019
8,19.54,8,2019
8,19.59,9,2019
8,19.56,10,2019
8,19.54,11,2019
8,19.64,12,2019
8,19.72,1,2020
8,19.67,2,2020
8,17.62,3,2020
8,15.02,4,2020
8,16.53,5,2020
8,17.92,6,2020
8,18.64,7,2020
8,18.74,8,2020
8,18.77,9,2020
8,18.47,10,2020
8,17.65,11,2020
8,17.77,12,2020
8,18.89,1,2021
8,19.72,2,2021
8,19.92,3,2021
8,20.01,4,2021
8,20.09,5,2021
8,20.14,6,2021
8,20.21,7,2021
8,20.29,8,2021
8,20.21,9,2021
8,20.13,10,2021
8,20.07,11,2021
8,20.35,12,2021
8,20.71,1,2022
8,20.91,2,2022
8,21.22,3,2022
8,21.38,4,2022
8,21.49,5,2022
8,21.54,6,2022
8,21.72,7,2022
8,21.91,8,2022
8,21.93,9,2022
8,22.07,10,2022
8,22.0,11,2022
8,21.81,12,2022
8,22.08,1,2023
8,22.17,2,2023
8,22.25,3,2023
8,22.24,4,2023
8,22.14,5,2023
8,22.26,6,2023
8,22.42,7,2023
8,22.54,8,2023
8,22.57,9,2023
8,22.54,10,2023
8,22.62,11,2023
8,22.47,12,2023
8,22.71,1,2024
8,23.41,2,2024
8,23.75,3,2024
8,24.04,4,2024
8,24.12,5,2024
8,24.15,6,2024
8,24.42,7,2024
8,24.61,8,2024
8,24.55,9,2024
8,24.5,10,2024
8,24.57,11,2024
8,24.52,12,2024
8,24.79,1,2025
8,24.65,2,2025
8,23.98,3,2025
8,23.9,4,2025
9,16.25,1,2017
9,16.21,2,2017
9,16.15,3,2017
9,16.17,4,2017
9,16.07,5,2017
9,15.98,6,2017
9,15.89,7,2017
9,15.97,8,2017
9,16.2,9,2017
9,16.34,10,2017
9,16.48,11,2017
9,16.66,12,2017
9,17.24,1,2018
9,17.85,2,2018
9,18.02,3,2018
9,18.11,4,2018
9,18.28,5,2018
9,18.49,6,2018
9,18.81,7,2018
9,19.29,8,2018
9,19.58,9,2018
9,19.78,10,2018
9,19.73,11,2018
9,19.44,12,2018
9,19.25,1,2019
9,19.6,2,2019
9,20.1,3,2019
9,19.87,4,2019
9,19.76,5,2019
9,19.68,6,2019
9,19.78,7,2019
9,19.75,8,2019
9,19.91,9,2019
9,19.86,10,2019
9,19.9,11,2019
9,20.04,12,2019
9,20.2,1,2020
9,20.06,2,2020
9,18.57,3,2020
9,15.93,4,2020
9,16.85,5,2020
9,18.22,6,2020
9,19.08,7,2020
9,19.08,8,2020
9,19.12,9,2020
9,18.83,10,2020
9,18.21,11,2020
9,18.38,12,2020
9,19.42,1,2021
9,20.25,2,2021
9,20.65,3,2021
9,20.77,4,2021
9,20.75,5,2021
9,20.8,6,2021
9,20.76,7,2021
9,20.74,8,2021
9,20.57,9,2021
9,20.47,10,2021
9,20.37,11,2021
9,20.56,12,2021
9,20.85,1,2022
9,21.06,2,2022
9,21.52,3,2022
9,21.9,4,2022
9,22.13,5,2022
9,22.29,6,2022
9,22.35,7,2022
9,22.39,8,2022
9,22.21,9,2022
9,22.34,10,2022
9,22.09,11,2022
9,21.65,12,2022
9,22.01,1,2023
9,22.07,2,2023
9,22.29,3,2023
9,22.45,4,2023
9,22.45,5,2023
9,22.4,6,2023
9,22.56,7,2023
9,22.92,8,2023
9,23.01,9,2023
9,23.05,10,2023
9,22.89,11,2023
9,22.61,12,2023
9,22.66,1,2024
9,23.23,2,2024
9,23.19,3,2024
9,23.47,4,2024
9,23.64,5,2024
9,23.71,6,2024
9,24.17,7,2024
9,24.41,8,2024
9,24.38,9,2024
9,24.47,10,2024
9,24.89,11,2024
9,25.06,12,2024
9,25.34,1,2025
9,25.0,2,2025
9,24.02,3,2025
9,23.95,4,2025
10,16.1,1,2017
10,16.06,2,2017
10,16.0,3,2017
10,16.03,4,2017
10,15.93,5,2017
10,15.83,6,2017
10,15.75,7,2017
10,15.82,8,2017
10,16.05,9,2017
10,16.17,10,2017
10,16.26,11,2017
10,16.39,12,2017
10,17.03,1,2018
10,17.73,2,2018
10,17.98,3,2018
10,18.07,4,2018
10,18.21,5,2018
10,18.42,6,2018
10,18.83,7,2018
10,19.43,8,2018
10,19.7,9,2018
10,19.93,10,2018
10,19.96,11,2018
10,19.68,12,2018
10,19.72,1,2019
10,20.18,2,2019
10,20.54,3,2019
10,20.26,4,2019
10,20.12,5,2019
10,20.0,6,2019
10,20.11,7,2019
10,20.05,8,2019
10,20.13,9,2019
10,20.12,10,2019
10,20.16,11,2019
10,20.21,12,2019
10,20.28,1,2020
10,20.19,2,2020
10,18.38,3,2020
10,15.43,4,2020
10,16.49,5,2020
10,17.92,6,2020
10,19.0,7,2020
10,19.03,8,2020
10,18.87,9,2020
10,18.6,10,2020
10,17.92,11,2020
10,18.11,12,2020
10,19.18,1,2021
10,20.07,2,2021
10,20.37,3,2021
10,20.39,4,2021
10,20.41,5,2021
10,20.47,6,2021
10,20.42,7,2021
10,20.28,8,2021
10,20.16,9,2021
10,20.06,10,2021
10,19.99,11,2021
10,20.2,12,2021
10,20.59,1,2022
10,20.78,2,2022
10,21.23,3,2022
10,21.44,4,2022
10,21.67,5,2022
10,21.85,6,2022
10,21.94,7,2022
10,21.98,8,2022
10,21.91,9,2022
10,22.03,10,2022
10,22.0,11,2022
10,21.69,12,2022
10,22.0,1,2023
10,22.04,2,2023
10,22.04,3,2023
10,22.11,4,2023
10,21.92,5,2023
10,21.88,6,2023
10,21.99,7,2023
10,22.23,8,2023
